LU_NAME,KEY_REF,STEP_NO,DESCRIPTION,APP_DATE,NOTE,PREV_APPROVAL_DATE,PERSON_ID,APPROVAL_STATUS
DocIssue,DOC_CLASS=866^DOC_NO=3162971^DOC_REV=()^DOC_SHEET=1^,1,Technician,20-Jan-21,,20-Jan-21,103034,Approved
DocIssue,DOC_CLASS=866^DOC_NO=3162980^DOC_REV=()^DOC_SHEET=1^,1,Technician,20-Jan-21,,20-Jan-21,103034,Approved
MrbHead,MRB_NUMBER=4937^,20,Planning to provide Lead time,20-Jan-21,YOu can use 1 week,20-Jan-21,100933,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3141290^DOC_REV=()^DOC_SHEET=1^,50,Planner-Review Tooling in IFS,20-Jan-21,,20-Jan-21,100933,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3161837^DOC_REV=()^DOC_SHEET=1^,50,Planner-Review Tooling in IFS,20-Jan-21,,20-Jan-21,100933,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3164965^DOC_REV=()^DOC_SHEET=1^,40,Eng-Approve Disposition,20-Jan-21,,20-Jan-21,100397,Approved
InventoryPart,CONTRACT=100^PART_NO=HSR232307^,340,EC - Schedule PBR when Receive Notice,20-Jan-21,FR 11/30,20-Jan-21,100259,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3160419^DOC_REV=()^DOC_SHEET=1^,10,Cognizant Engineer,20-Jan-21,,20-Jan-21,103107,Approved
ReturnMaterialLine,RMA_LINE_NO=1^RMA_NO=12560^,30,"Tech: Eval, Scrap/Return to RMA Shelf",20-Jan-21,,20-Jan-21,100265,Approved
ReturnMaterialLine,RMA_LINE_NO=1^RMA_NO=12560^,10,"Log in RMA, Add notes, Notice to cust",20-Jan-21,,20-Jan-21,100265,Approved
MrbHead,MRB_NUMBER=4858^,50,Initiator close MRB,20-Jan-21,,20-Jan-21,100541,Approved
InventoryPart,CONTRACT=100^PART_NO=217-237283^,20,Buyer,20-Jan-21,,20-Jan-21,100527,Approved
InventoryPart,CONTRACT=100^PART_NO=HSFK229346^,245,DE - Output Review/Sign off,20-Jan-21,There is an ECO that I have signed off on too.,20-Jan-21,102715,Approved
InventoryPart,CONTRACT=100^PART_NO=HSFK229346^,240,DE - Prototype Release Mtg,20-Jan-21,,20-Jan-21,102715,Approved
InventoryPart,CONTRACT=100^PART_NO=HSFK229346^,235,DE - IFS Review/Sign Off,20-Jan-21,,20-Jan-21,102715,Approved
InventoryPart,CONTRACT=100^PART_NO=287-237288^,20,Buyer,20-Jan-21,,20-Jan-21,100527,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165954^DOC_REV=()^DOC_SHEET=1^,45,Prod Lead Approval_Delete if sup apprv,20-Jan-21,,20-Jan-21,100462,Approved
MrbHead,MRB_NUMBER=4858^,30,QA MRB Disposition & Content,20-Jan-21,,20-Jan-21,100265,Approved
InventoryPart,CONTRACT=100^PART_NO=AS202172TTU54SAC1C22J^,50,Snsr/Inst Eng coordinator- Inactive,20-Jan-21,,20-Jan-21,100309,Approved
InventoryPart,CONTRACT=100^PART_NO=259-237282^,20,Buyer,20-Jan-21,,20-Jan-21,100527,Approved
OrderQuotation,QUOTATION_NO=1297762^,100,CSR/SME,20-Jan-21,,19-Jan-21,103188,Approved
OrderQuotation,QUOTATION_NO=1298192^,50,Snsr/Inst: Eng Grp core,20-Jan-21,"Hi Cory, The part S100013PD154Z4 doesn't exist in Sales part, pls set it up. Thanks !  Bella Yuan 1/20/21",20-Jan-21,104101,Approved
MrbHead,MRB_NUMBER=4933^,30,SQE Reveiw,20-Jan-21,,20-Jan-21,103491,Approved
MrbHead,MRB_NUMBER=4933^,20,Buyer - Get Certs,20-Jan-21,,20-Jan-21,103078,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3164965^DOC_REV=()^DOC_SHEET=1^,30,QA-Disposition ECO,20-Jan-21,,20-Jan-21,104058,Approved
DocIssue,DOC_CLASS=585^DOC_NO=3151807^DOC_REV=A^DOC_SHEET=1^,20,Review & Approve,20-Jan-21,,20-Jan-21,100355,Approved
DocIssue,DOC_CLASS=585^DOC_NO=3151807^DOC_REV=A^DOC_SHEET=1^,10,Initiate Approval Routing,20-Jan-21,,20-Jan-21,103749,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3162453^DOC_REV=()^DOC_SHEET=1^,30,Snsr/Inst: Drafter,20-Jan-21,See Will's Email attached,20-Jan-21,103748,Approved
MrbHead,MRB_NUMBER=4939^,5,Start approval process (initiator),20-Jan-21,,20-Jan-21,100842,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 DRILLED COVER^,30,HEMI Team Audit,20-Jan-21,Missed the inventory part approval when I sent the ECO for HEMI review. Please go ahead and approve.,20-Jan-21,100246,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 WIRE^,30,HEMI Team Audit,20-Jan-21,Missed the inventory part approval when I sent the ECO for HEMI review. Please go ahead and approve.,20-Jan-21,100246,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242^,415,ENGINEER-HEMI Team Audit,20-Jan-21,"Missed the inventory part approval when I sent the ECO for HEMI review. Please go ahead and approve.
",20-Jan-21,100246,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 LAMINATED^,30,HEMI Team Audit,20-Jan-21,Missed the inventory part approval when I sent the ECO for HEMI review. Please go ahead and approve.,20-Jan-21,100246,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 CABLE^,30,HEMI Team Audit,20-Jan-21,Missed the inventory part approval when I sent the ECO for HEMI review. Please go ahead and approve.,20-Jan-21,100246,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 ELE^,30,HEMI Team Audit,20-Jan-21,Missed the inventory part approval when I sent the ECO for HEMI review. Please go ahead and approve.,20-Jan-21,100246,Approved
MrbHead,MRB_NUMBER=4932^,20,Eng MRB Disposition,20-Jan-21,"Accept. The shop equipment is already programmed to machine the part from 3/8"", to 5/16"". The 3/8"" 242-201759 material is good for use.",20-Jan-21,104101,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163053^DOC_REV=()^DOC_SHEET=1^,290,Make changes to AI,20-Jan-21,,20-Jan-21,100259,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165954^DOC_REV=()^DOC_SHEET=1^,40,QE Approval_Delete if QTech approves,20-Jan-21,,20-Jan-21,103385,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 WIRE^,20,ME - IFS Review/Sign Off,20-Jan-21,,20-Jan-21,103632,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 LAMINATED^,20,ME - IFS Review/Sign Off,20-Jan-21,,20-Jan-21,103632,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 ELE^,20,ME - IFS Review/Sign Off,20-Jan-21,,20-Jan-21,103632,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 DRILLED COVER^,20,ME - IFS Review/Sign Off,20-Jan-21,,20-Jan-21,103632,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242 CABLE^,20,ME - IFS Review/Sign Off,20-Jan-21,,20-Jan-21,103632,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3160498^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,7-Jan-21,100369,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242^,410,ME - IFS Update,20-Jan-21,,20-Jan-21,103632,Approved
InventoryPart,CONTRACT=100^PART_NO=S102085PDPD102Z118C20^,10,Snsr/Inst: Dsgn Engineer - Set up new IP,20-Jan-21,,,100304,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3151765^DOC_REV=()^DOC_SHEET=1^,60,2nd Eng- ECO review 2nd signature,20-Jan-21,,20-Jan-21,102057,Approved
CustomerOrder,ORDER_NO=1702974^,22,Engineering- Heaters,20-Jan-21,"01/19/2021, CPA TO QUALITY/TECH COORD, Customer Axiom ordering for Viasat (20)
HSFK210753
receiving repeat order for this model with the GQA relevant information to check if Minco does apply and how to feedback to Axiom on these.
see doc#3165453 where all listed.
thank you for your feedback
catherine

",20-Jan-21,103142,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3153651^DOC_REV=()^DOC_SHEET=1^,60,2nd Eng- ECO review 2nd signature,20-Jan-21,,20-Jan-21,102057,Approved
InventoryPart,CONTRACT=100^PART_NO=S102062PD115Z158C10^,10,Snsr/Inst: Dsgn Engineer - Set up new IP,20-Jan-21,,,100304,Approved
InventoryPart,CONTRACT=100^PART_NO=S102062PD115Z118C10^,10,Snsr/Inst: Dsgn Engineer - Set up new IP,20-Jan-21,,,100304,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3143208^DOC_REV=()^DOC_SHEET=1^,50,Tech Writer - Process ECO,20-Jan-21,,20-Jan-21,103611,Approved
InventoryPart,CONTRACT=100^PART_NO=S102062PD115Z79C10^,10,Snsr/Inst: Dsgn Engineer - Set up new IP,20-Jan-21,,,100304,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3160503^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,7-Jan-21,100434,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3160248^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,7-Jan-21,100434,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3160498^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,7-Jan-21,100434,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3160512^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,7-Jan-21,100434,Approved
OrderQuotation,QUOTATION_NO=1298234^,10,Sales: Send quote to Engineering,20-Jan-21,,20-Jan-21,120117,Approved
DocIssue,DOC_CLASS=825^DOC_NO=3165070^DOC_REV=()^DOC_SHEET=1^,10,Create Outside Op Item,20-Jan-21,,20-Jan-21,100494,Approved
InventoryPart,CONTRACT=100^PART_NO=E2B237232^,80,DE- NPI AI done; review parts; Cost Roll,20-Jan-21,,20-Jan-21,100369,Approved
InventoryPart,CONTRACT=100^PART_NO=E2B237232^,70,DE- NPI Hold: approve after Rel Mtg.,20-Jan-21,,20-Jan-21,100369,Approved
InventoryPart,CONTRACT=100^PART_NO=E2B237231^,80,DE- NPI AI done; review parts; Cost Roll,20-Jan-21,,20-Jan-21,100369,Approved
InventoryPart,CONTRACT=100^PART_NO=S101433PE220Z160^,15,Eng Coordinator,20-Jan-21,,20-Jan-21,100309,Approved
DocIssue,DOC_CLASS=825^DOC_NO=3165071^DOC_REV=()^DOC_SHEET=1^,10,Create Outside Op Item,20-Jan-21,,20-Jan-21,100494,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165954^DOC_REV=()^DOC_SHEET=1^,20,Cognizant Engineer Approval,20-Jan-21,,20-Jan-21,103142,Approved
InventoryPart,CONTRACT=100^PART_NO=HSK226242^,400,ME - Meet with Production,20-Jan-21,,20-Jan-21,103632,Approved
MrbHead,MRB_NUMBER=4940^,5,Start approval process (initiator),20-Jan-21,,20-Jan-21,100842,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165715^DOC_REV=()^DOC_SHEET=1^,50,Tech/Process Owner Release,20-Jan-21,,20-Jan-21,100086,Approved
CustomerOrder,ORDER_NO=1703607^,20,Purchasing Clause Review,20-Jan-21,"ORDER IN HOUSE, 30, 1/20, Order 1703607, Market Code, Inside Sales, S100359PG (25 pcs).
Please review the following clauses from Purchase Order Comments (doc# 2837602, attached) and enter into the Customer Requirements Tool for this model. 
07 Flow down requirements ",19-Jan-21,100527,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3162248^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,12-Jan-21,103165,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3162334^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,12-Jan-21,103165,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3162284^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,12-Jan-21,103165,Approved
InventoryPart,CONTRACT=100^PART_NO=E2B237231^,70,DE- NPI Hold: approve after Rel Mtg.,20-Jan-21,,20-Jan-21,100369,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3143208^DOC_REV=()^DOC_SHEET=1^,30,QA - Disposition SME review,20-Jan-21,"Hi John.  We need to keep this one, so update format.  Thanks, Craig.",20-Jan-21,103611,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3160512^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,7-Jan-21,100219,Approved
CustomerOrder,ORDER_NO=1702974^,22,Quality- Thermal solutions,20-Jan-21,"01/19/2021, CPA TO QUALITY/TECH COORD, Customer Axiom ordering for Viasat (20)
HSFK210753
receiving repeat order for this model with the GQA relevant information to check if Minco does apply and how to feedback to Axiom on these.
see doc#3165453 where all listed.
thank you for your feedback
catherine
",20-Jan-21,100210,Approved
OrderQuotation,QUOTATION_NO=1297638^,100,Sales: CrossRef/Pricing/Quote,20-Jan-21,"Guillaume has a formal proposal and spreadsheets with Minco's part numbers and exceptions. You may want to attach his documents to this quote for historical record.
01.07.2021/Gary Engelbrecht",7-Jan-21,120117,Approved
MrbHead,MRB_NUMBER=4938^,20,Eng MRB Disposition,20-Jan-21,,20-Jan-21,100397,Approved
MrbHead,MRB_NUMBER=4938^,5,Start approval process (initiator),20-Jan-21,,20-Jan-21,100740,Approved
OrderQuotation,QUOTATION_NO=1296785^,80,Sales: Send quote to Engineering,20-Jan-21,,20-Jan-21,120117,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3163074^DOC_REV=()^DOC_SHEET=1^,140,Make changes to AI,20-Jan-21,"Colleen, I am unsure how to edit the AI but i see you were the last to update this AI. Are you able to make this change?",20-Jan-21,100259,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3160008^DOC_REV=()^DOC_SHEET=1^,20,"Eng- complete ECO form, manage WIP",20-Jan-21,,20-Jan-21,103905,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3165132^DOC_REV=()^DOC_SHEET=1^,40,"QA Engineering, Corrective action",20-Jan-21,,20-Jan-21,103385,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3160512^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,7-Jan-21,100468,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3160059^DOC_REV=()^DOC_SHEET=1^,20,"Eng- complete ECO form, manage WIP",20-Jan-21,,20-Jan-21,103905,Approved
DocIssue,DOC_CLASS=A2600^DOC_NO=3162248^DOC_REV=()^DOC_SHEET=1^,20,Acknowledgement of Training,20-Jan-21,,12-Jan-21,103594,Approved
OrderQuotation,QUOTATION_NO=1298156^,20,Engineering Clause Review,20-Jan-21,"(10) DUE DATE 1/19/21, Rockwell Collins, 116712. Michael Whitney, HAP220429, HAP231074, HAP207114, Please review the below clauses for this RFP:
In IFS Doc: 3164749 titled ""2021-Sourcing-Top 50 PFI Package (Resistor_Capacitor)
Review the following noted in Section 4 Quality Requirements: 
- Process Control Plan and Inspection & Test Plan in compliance to (and as evidence for) section 7.5, AS 9100 Rev. C
- Variation Management plan for Key Characteristics (defined in RC Drawings) in accordance with AS 9100
- Process Flow Diagram and Process Failure Mode and Effects Analysis (PFMEA)
- Note that NADCAP certified processors are now required for any internal or outsourced processes required on drawings. Special processes requiring NADCAP certified suppliers are designated in Section 2.8 of RC-9000 and can be accessed on the Supplier Portal (Rockwell Collins Document Number: 074-8432-119).",15-Jan-21,103772,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165715^DOC_REV=()^DOC_SHEET=1^,45,Prod Lead Approval_Delete if sup apprv,20-Jan-21,,20-Jan-21,103568,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165715^DOC_REV=()^DOC_SHEET=1^,40,Qtech Approval_Delete if QE approves,20-Jan-21,,20-Jan-21,102450,Approved
MrbHead,MRB_NUMBER=4935^,30,SQE Reveiw,20-Jan-21,,20-Jan-21,103491,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165817^DOC_REV=()^DOC_SHEET=1^,45,Prod Lead Approval_Delete if sup apprv,20-Jan-21,,20-Jan-21,102283,Approved
OrderQuotation,QUOTATION_NO=1287168^,80,Sales: Finish Quote,20-Jan-21,,19-Jan-21,120117,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165817^DOC_REV=()^DOC_SHEET=1^,40,Qtech Approval_Delete if QE approves,20-Jan-21,,20-Jan-21,100265,Approved
InventoryPart,CONTRACT=100^PART_NO=AS202172TTU152SAC1C15J^,10,Snsr/Inst Eng coordinator- Inactive,20-Jan-21,,20-Jan-21,100309,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165715^DOC_REV=()^DOC_SHEET=1^,20,Cognizant Engineer Approval,20-Jan-21,,20-Jan-21,102057,Approved
InventoryPart,CONTRACT=100^PART_NO=HSFK229346^,215,Drafter - Order/Sign off (if needed),20-Jan-21,,20-Jan-21,100343,Approved
InventoryPart,CONTRACT=100^PART_NO=HSFK229346^,205,Drafter - Make Changes (if needed),20-Jan-21,,20-Jan-21,100343,Approved
DocIssue,DOC_CLASS=700^DOC_NO=3139770^DOC_REV=()^DOC_SHEET=1^,30,QA - Disposition SME review,20-Jan-21,"We can obsolete this per Dan Powley.  THanks, Craig.",20-Jan-21,103611,Approved
MrbHead,MRB_NUMBER=4937^,20,Eng to create Rework Routing/Structure,20-Jan-21,"Repair structure and routing set up for potting repair.  AC232861 ceramic paper is its own part number and the existing manufacturing structure and routing can be used.
",20-Jan-21,102715,Approved
InventoryPart,CONTRACT=100^PART_NO=217-237283^,10,Cognizant Engineer,20-Jan-21,,20-Jan-21,102057,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165715^DOC_REV=()^DOC_SHEET=1^,10,Originator,20-Jan-21,,20-Jan-21,103415,Approved
AgreementSalesPartDeal,AGREEMENT_ID=964^CATALOG_NO=HK20551^MIN_QUANTITY=0^VALID_FROM_DATE=2019-02-05-00.00.00^,30,Purchasing,20-Jan-21,"CPA, 01/14/2021, (10)Siemens Healthcare (101133), 
Per Anita Whalen instructions, see doc#3163578, HK20551 revising Agreement Qtity from 1700 originally to 29000pcs.
Other information from ""characteristics"" : NO CHANGE
Catherine

",20-Jan-21,100494,Approved
AgreementSalesPartDeal,AGREEMENT_ID=964^CATALOG_NO=ASM22382^MIN_QUANTITY=0^VALID_FROM_DATE=2019-02-05-00.00.00^,46,Purchasing,20-Jan-21,"CPA, 01/14/2021, (10)Siemens Healthcare (101133), 
Per Anita Whalen instructions, see doc#3163578, ASM22382 revising Agreement Qtity from 930 originally to 1630pcs.
Changing also unit price from $774.50 to $788.60 (Qte 1298038)
This  based on minimum release of 30 pieces. : no change here
This  based on Siemens confirming liability commitment of 600 chambers and 30 parts of completed safety stock. 
thanks.
Catherine

",20-Jan-21,100494,Approved
DocIssue,DOC_CLASS=735^DOC_NO=3165954^DOC_REV=()^DOC_SHEET=1^,10,Tech/Process Owner Approval,19-Jan-21,,20-Jan-21,100519,Approved
MrbHead,MRB_NUMBER=4928^,20,Buyer - Get Certs,19-Jan-21,,19-Jan-21,103078,Approved
MrbHead,MRB_NUMBER=4927^,20,Buyer - Get Certs,19-Jan-21,,19-Jan-21,103078,Approved
OrderQuotation,QUOTATION_NO=1298162^,40,Sales: CrossRef/Pricing/Quote,19-Jan-21,arate line items. We do not make assemblies with tags that do not include the connection head that the tag gets mounted to. CGE - 1/19/2021e the connection head that the tag gets mounted to. CGE - 1/19/2021,19-Jan-21,120096,Approved
OrderQuotation,QUOTATION_NO=1298192^,40,Sales: CrossRef/Pricing/Quote,19-Jan-21,S100013PD154Z4 is already set up and active. CGE - 19 Jan 2021,20-Jan-21,102646,Approved
InventoryPart,CONTRACT=100^PART_NO=S113PD20T275W236N0-A^,240,TSCS Design Eng (1st Run Meeting),19-Jan-21,,19-Jan-21,100634,Approved
OrderQuotation,QUOTATION_NO=1297917^,60,Sales,19-Jan-21,"The following parts are set up:
S130PM61T236W236F5CAL10
S130PM61T236W236E39CAL10
KRQ 1/18/21",18-Jan-21,1016,Approved
CustomerOrder,ORDER_NO=1703603^,20,Release Order,19-Jan-21,Release Order After Denied Party Approval,19-Jan-21,100181,Approved
InquiryOrder,INQUIRY_NO=8085^,10,Requestor,19-Jan-21,,19-Jan-21,100430,Approved
